,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.7735085964202881,0.088364995657901,0.019764423370361328,0.0010239152733299598,True,10,6,4,4,100,"{'bootstrap': True, 'max_depth': 10, 'max_features': 6, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 100}",-75.25435969469555,-90.52848812762963,-91.65557935704594,-87.36692321466111,-99.99608633943271,-88.96028734669298,8.023764380608286,1,-66.8366420074415,-64.92593904716374,-64.00626931880373,-65.10813617062426,-61.92548735775539,-64.56049478035773,1.6040409460633946
1,1.6513000965118407,0.0696407141930544,0.02039923667907715,0.00504970091395399,True,10,6,4,8,100,"{'bootstrap': True, 'max_depth': 10, 'max_features': 6, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 100}",-75.77642519390814,-90.94538749311583,-91.28418292740672,-87.42311340918499,-99.60775650882543,-89.00737310648822,7.7314390957163885,3,-66.73743725443151,-64.87978104766988,-63.710048631185,-64.84692236472331,-62.08891017699292,-64.45261989500052,1.529501040652452
2,1.3770853996276855,0.011509303583779894,0.017979764938354494,0.0012056737787803857,True,10,6,4,16,100,"{'bootstrap': True, 'max_depth': 10, 'max_features': 6, 'min_samples_leaf': 4, 'min_samples_split': 16, 'n_estimators': 100}",-75.37717218654501,-91.05005285257059,-91.80791946092926,-87.6918674904669,-99.72610541400469,-89.13062348090328,7.928982300124809,11,-72.0303426593412,-69.4632928281941,-68.43971007577188,-69.62671130758685,-66.16976693669534,-69.14596476151787,1.8977881533261813
3,1.570368194580078,0.14183770762876838,0.021376705169677733,0.0035664416017147866,True,10,6,4,32,100,"{'bootstrap': True, 'max_depth': 10, 'max_features': 6, 'min_samples_leaf': 4, 'min_samples_split': 32, 'n_estimators': 100}",-75.85749416924722,-91.08723667853266,-92.7997065430681,-87.76282266194865,-100.03120039233688,-89.50769208902669,7.917689307523973,50,-77.62757849266293,-74.98840779893264,-73.98688910152187,-75.3763347284034,-71.50605089564303,-74.69705220343278,1.9910358179229342
4,1.6223434925079345,0.07097342078712024,0.026935720443725587,0.0031106502207377887,True,10,6,8,4,100,"{'bootstrap': True, 'max_depth': 10, 'max_features': 6, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 100}",-75.71979884269463,-91.53611740394703,-92.5719891261447,-87.45359176384713,-100.02010190080337,-89.46031980748738,7.9790888363709715,43,-74.5091005422136,-72.07151781248997,-71.1182847586875,-72.69612678205503,-68.73282805466408,-71.82557159002204,1.901841253167566
5,1.6737930297851562,0.12325557452412465,0.07188396453857422,0.05021273288700366,True,10,6,8,8,100,"{'bootstrap': True, 'max_depth': 10, 'max_features': 6, 'min_samples_leaf': 8, 'min_samples_split': 8, 'n_estimators': 100}",-75.62610643013565,-91.60323816973496,-92.0603755351259,-87.4911390723951,-99.70244602305405,-89.29666104608913,7.891549276236269,31,-74.36548681788133,-72.18889034317517,-71.3494493488502,-72.38120000335974,-68.64885363845731,-71.78677603034474,1.8548636968732324
6,1.6644880294799804,0.08624923151920005,0.02019472122192383,0.003692185499540757,True,10,6,8,16,100,"{'bootstrap': True, 'max_depth': 10, 'max_features': 6, 'min_samples_leaf': 8, 'min_samples_split': 16, 'n_estimators': 100}",-75.34828119450273,-91.82556811139968,-91.85935480552915,-87.79308536352167,-99.55530359822983,-89.27631861463661,7.937486863069505,23,-74.79196739188544,-72.3818883020863,-71.06101976867312,-72.69108245153193,-68.80290421717247,-71.94577242626985,1.9751920270227028
7,1.5258957386016845,0.0494549440923659,0.017822647094726564,0.0021110745351134363,True,10,6,8,32,100,"{'bootstrap': True, 'max_depth': 10, 'max_features': 6, 'min_samples_leaf': 8, 'min_samples_split': 32, 'n_estimators': 100}",-76.34777350199319,-91.97076920389226,-93.60103818979715,-87.68850358728042,-99.87680639847063,-89.89697817628674,7.824013656306422,90,-79.63548779910397,-76.854843153538,-75.80474062548689,-77.2369252907917,-73.10123286880774,-76.52664594754566,2.1228146345580567
8,1.2490831375122071,0.038351590063875354,0.02601003646850586,0.005846637109060783,True,10,6,16,4,100,"{'bootstrap': True, 'max_depth': 10, 'max_features': 6, 'min_samples_leaf': 16, 'min_samples_split': 4, 'n_estimators': 100}",-76.95214585113898,-92.81465049365688,-94.02176540461751,-88.27606806629062,-99.81438209984972,-90.37580238311075,7.654165564179103,112,-82.35575459744248,-79.15162530753976,-78.05170963696506,-79.65381181881783,-75.71442083415077,-78.98546443898319,2.1635516033404825
9,1.4903591632843018,0.18424219323280389,0.041855812072753906,0.016352121518356633,True,10,6,16,8,100,"{'bootstrap': True, 'max_depth': 10, 'max_features': 6, 'min_samples_leaf': 16, 'min_samples_split': 8, 'n_estimators': 100}",-76.41879803408018,-92.81214711223583,-94.22930570341678,-88.59667072630408,-100.13273856337123,-90.43793202788162,7.923724458759709,123,-82.1617230968805,-79.36226449659308,-78.34030551419329,-79.9733720366228,-75.62018403779624,-79.09156983641716,2.139701343962864
