Datetime,site_name,I,OLS,poly,yXGB,yRF,CNN
2023-02-07 08:00:00+07:00,ISL001,110.3633,172.25259987802747,138.025778956049,210.4391,176.2939292359807,141.61853
2023-02-07 08:30:00+07:00,ISL001,208.399,313.59985456974397,260.0702329367748,255.95995,281.7178121531413,260.48743
2023-02-07 09:00:00+07:00,ISL001,437.649,400.08443392541557,353.79144894278386,374.97723,381.97220522835653,376.27963
2023-02-07 09:30:00+07:00,ISL001,496.7265,445.34010865694637,416.61017409191936,447.5865,432.07111463180814,479.64917
2023-02-07 10:00:00+07:00,ISL001,482.643,547.806454753204,519.8402152945363,549.73126,506.8538444895464,575.1286
2023-02-07 10:30:00+07:00,ISL001,641.1463,621.0075335350741,612.2784553508176,626.8755,618.5260946418416,645.34467
2023-02-07 11:00:00+07:00,ISL001,678.6779,669.0297386867423,681.7398855995424,728.4613,724.6047854779379,657.5648
2023-02-07 11:30:00+07:00,ISL001,548.2318,699.2411577123496,724.8837146993377,780.785,764.1927478281619,672.1165
2023-02-07 12:00:00+07:00,ISL001,638.4393,653.6304304236264,671.3244449218628,686.0364,668.1005578913977,653.7619
2023-02-07 12:30:00+07:00,ISL001,748.2906,648.7989012346267,669.1555925002469,728.7461,665.8298255538298,643.44354
2023-02-07 13:00:00+07:00,ISL001,777.0062,689.7897811596172,712.7415071779952,701.9528,682.9120733479353,656.88873
2023-02-07 13:30:00+07:00,ISL001,733.256,639.7902099262451,646.7073495867653,649.67096,577.5154172737762,643.0186
2023-02-07 14:00:00+07:00,ISL001,753.9971,649.1357493777543,681.3914436521362,665.4007,675.9928551430598,571.2937
2023-02-07 15:30:00+07:00,ISL001,424.919,482.48770189628544,475.5902248025448,393.88947,417.45167039909427,402.11642
2023-02-07 16:00:00+07:00,ISL001,317.665,418.56379067606497,390.34100738897644,376.30487,405.07267673960195,320.58392
2023-02-11 08:00:00+07:00,ISL001,217.6173,202.07147439285154,147.85916745022297,203.34637,205.85428968454494,181.9986
2023-02-11 08:30:00+07:00,ISL001,329.9561,322.43026964102825,263.8397444968694,278.14722,315.5242601173871,274.97742
2023-02-11 09:00:00+07:00,ISL001,461.6824,422.7739660512714,371.8262410118511,428.93845,401.1429831145215,398.2883
2023-02-11 09:30:00+07:00,ISL001,534.9531,504.4280917205367,467.62600375338434,462.57205,498.38497700508947,504.60257
2023-02-11 10:00:00+07:00,ISL001,643.0485,573.2551358817159,556.157549469116,555.0804,550.6792369448982,582.277
2023-02-11 10:30:00+07:00,ISL001,725.6838,645.3945074928561,640.3049145623525,666.8814,641.0693474404928,669.3738
2023-02-11 11:00:00+07:00,ISL001,792.5529,694.753343561224,704.1266605004225,729.6158,746.8184215510669,723.79144
2023-02-11 11:30:00+07:00,ISL001,783.5175,720.5490487888322,735.6110362132472,754.2803,718.766710793404,743.04376
2023-02-11 12:00:00+07:00,ISL001,814.172,735.1857871555985,749.4351479379181,797.8119,769.423837836061,755.5075
2023-02-11 12:30:00+07:00,ISL001,818.4885,777.9932271435543,824.494721493389,880.1458,820.5793695333973,746.45355
2023-02-11 13:00:00+07:00,ISL001,800.4909,767.8613623772237,816.8424175070559,828.5007,751.0396256983504,713.2713
2023-02-11 13:30:00+07:00,ISL001,786.3708,725.0109916052342,774.2391907121889,790.53674,781.1962141249699,683.2423
2023-02-11 14:00:00+07:00,ISL001,777.5915,709.6338720047079,747.4092780605457,693.8027,713.155497579465,646.3013
2023-02-11 14:30:00+07:00,ISL001,705.7474,653.7906208651259,681.0180566796892,676.27826,676.7439955669131,580.6093
2023-02-11 15:00:00+07:00,ISL001,620.2588,568.8704042899067,582.5632391146086,534.74756,532.3071546107449,526.6633
2023-02-11 15:30:00+07:00,ISL001,530.0513,534.0984747807155,519.7937775676918,545.8526,478.6666847611778,462.59933
2023-02-11 16:00:00+07:00,ISL001,437.5759,464.4451592836517,420.0549096210663,487.20645,445.4374129900336,354.62692
2023-02-13 08:00:00+07:00,ISL001,215.642,205.09516907996291,149.55103740033104,209.71655,235.22694688677035,213.17497
2023-02-13 08:30:00+07:00,ISL001,172.4039,340.4220110006597,270.68234623845177,341.57974,329.41173511980514,321.49326
2023-02-13 09:00:00+07:00,ISL001,380.0347,332.54488384527997,308.41688716221387,370.858,364.102712229365,410.9212
2023-02-13 09:30:00+07:00,ISL001,555.1821,478.0350137148231,438.134730278038,369.5621,355.00538071634196,511.56076
2023-02-13 10:00:00+07:00,ISL001,363.3906,552.5681924167525,520.0047032816061,557.40063,559.5354321157932,594.38336
2023-02-13 10:30:00+07:00,ISL001,634.7813,538.2684274969889,511.9696128004126,511.65094,538.569080068928,666.3691
2023-02-13 11:00:00+07:00,ISL001,640.1586,667.6269343066319,655.6194699018188,630.7305,672.3561625596875,721.68243
2023-02-13 11:30:00+07:00,ISL001,639.7928,716.8437060041254,724.0894875520003,767.11145,778.0950986319813,745.6318
2023-02-13 12:00:00+07:00,ISL001,747.815,680.9122074182028,664.544017927908,751.6036,750.8736378389524,771.7711
2023-02-13 12:30:00+07:00,ISL001,913.488,733.484071976055,739.4542519134235,745.2743,734.9928539671058,770.4959
2023-02-13 13:00:00+07:00,ISL001,849.5088,748.0038128693012,775.6714345633975,774.55756,788.3348074548335,747.2319
2023-02-13 13:30:00+07:00,ISL001,708.1984,695.4059644583681,698.4662989077616,704.72253,689.3622148182457,720.5135
2023-02-13 14:00:00+07:00,ISL001,730.4758,690.9896758362779,710.0427667067584,691.96765,729.1515050600011,678.3874
