,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.29404458999633787,0.07739905991914978,0.006507301330566406,0.00091831533541718,0.3,6,5,100,0.8,"{'colsample_bytree': 0.3, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 0.8}",-91.99999188675889,-104.15799556847766,-106.91455712382515,-110.12293520588267,-113.21913565363889,-105.28292308771665,7.304425234557501,80
1,0.2707024097442627,0.06372451943903044,0.007666444778442383,0.0018256420276394345,0.3,6,5,100,1,"{'colsample_bytree': 0.3, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 1}",-91.20361288286811,-100.95224971920032,-108.25476402392863,-107.95649911471027,-111.51523622739259,-103.97647239362,7.256296782544634,73
2,0.24868106842041016,0.02818181338007267,0.008161973953247071,0.0030125954107842515,0.3,6,7,100,0.8,"{'colsample_bytree': 0.3, 'max_depth': 6, 'min_child_weight': 7, 'n_estimators': 100, 'subsample': 0.8}",-92.4779477090313,-102.52459321198694,-106.99372409918567,-110.12659253343656,-114.282513201323,-105.28107415099268,7.469355488560058,79
3,0.26242995262145996,0.017342534727963,0.009403324127197266,0.0015240282936181833,0.3,6,7,100,1,"{'colsample_bytree': 0.3, 'max_depth': 6, 'min_child_weight': 7, 'n_estimators': 100, 'subsample': 1}",-90.23558533233496,-102.06281417353595,-107.82556114990409,-107.43549634502362,-112.89032896412745,-104.08995719298522,7.728477740481191,74
4,0.2691216468811035,0.007864770923911104,0.007647180557250976,0.0012673128356530334,0.3,6,9,100,0.8,"{'colsample_bytree': 0.3, 'max_depth': 6, 'min_child_weight': 9, 'n_estimators': 100, 'subsample': 0.8}",-90.54202805886553,-102.77048582395011,-105.97662772715925,-109.73316636613607,-113.81831499191718,-104.56812459360563,7.92704798953869,76
5,0.24641995429992675,0.013213038135436806,0.007111597061157227,0.0016458886825053112,0.3,6,9,100,1,"{'colsample_bytree': 0.3, 'max_depth': 6, 'min_child_weight': 9, 'n_estimators': 100, 'subsample': 1}",-89.71466872548724,-100.27371453814096,-107.00114621272563,-107.81737697065056,-113.00748018018773,-103.56287732543842,8.021402078507725,69
6,0.26354260444641114,0.012454656280932772,0.010804557800292968,0.0040889956276840556,0.3,6,11,100,0.8,"{'colsample_bytree': 0.3, 'max_depth': 6, 'min_child_weight': 11, 'n_estimators': 100, 'subsample': 0.8}",-91.11573705571243,-102.00061567801204,-105.14628948315514,-109.00533716887806,-113.9070120898143,-104.23499829511438,7.671269993841837,75
7,0.28622660636901853,0.01607219720345539,0.010488414764404297,0.0075926388260562,0.3,6,11,100,1,"{'colsample_bytree': 0.3, 'max_depth': 6, 'min_child_weight': 11, 'n_estimators': 100, 'subsample': 1}",-89.42226198434794,-100.32206759224688,-106.42684357557006,-106.98923921202892,-112.08744073879538,-103.04957062059785,7.768563199631938,66
8,0.3510159492492676,0.015826197976890197,0.01261310577392578,0.004061478311338947,0.3,8,5,100,0.8,"{'colsample_bytree': 0.3, 'max_depth': 8, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 0.8}",-95.10065300880404,-107.82901512436061,-110.34911762903266,-115.42883850046647,-118.36912709179813,-109.41535027089239,8.057680788257931,90
9,0.32413396835327146,0.02535733790086844,0.010139560699462891,0.0020189423835415892,0.3,8,5,100,1,"{'colsample_bytree': 0.3, 'max_depth': 8, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 1}",-95.61282912543314,-105.13479486530046,-111.90757316576484,-113.32906920226368,-116.21750298545402,-108.44035386884323,7.373971887861611,87
10,0.3144416332244873,0.008876577055812145,0.01017589569091797,0.0027449307817625094,0.3,8,7,100,0.8,"{'colsample_bytree': 0.3, 'max_depth': 8, 'min_child_weight': 7, 'n_estimators': 100, 'subsample': 0.8}",-94.69267570414186,-106.67051972366451,-110.25200886485416,-114.15408752385852,-118.11845491664401,-108.77754934663263,8.014448825301807,88
11,0.3048996448516846,0.009767495999625234,0.010406780242919921,0.002977179155136205,0.3,8,7,100,1,"{'colsample_bytree': 0.3, 'max_depth': 8, 'min_child_weight': 7, 'n_estimators': 100, 'subsample': 1}",-95.31926929779462,-103.84926286308962,-110.33281175628203,-112.17981895059201,-116.39324633755633,-107.61488184106292,7.357274647214744,84
12,0.30039305686950685,0.026558158866643772,0.010194873809814453,0.001896806153301697,0.3,8,9,100,0.8,"{'colsample_bytree': 0.3, 'max_depth': 8, 'min_child_weight': 9, 'n_estimators': 100, 'subsample': 0.8}",-94.85433549757263,-105.45212644836208,-109.21452862181486,-113.41541293596467,-116.15800222015213,-107.81888114477329,7.436274765111221,86
13,0.30685958862304685,0.02135679694820948,0.011388778686523438,0.0044381221056830535,0.3,8,9,100,1,"{'colsample_bytree': 0.3, 'max_depth': 8, 'min_child_weight': 9, 'n_estimators': 100, 'subsample': 1}",-93.68370597280406,-103.78236188054218,-109.70338357072521,-111.10593741418548,-115.93914675332184,-106.84290711831575,7.637130878494126,82
14,0.29149503707885743,0.01065558699661161,0.014746856689453126,0.005366788366732869,0.3,8,11,100,0.8,"{'colsample_bytree': 0.3, 'max_depth': 8, 'min_child_weight': 11, 'n_estimators': 100, 'subsample': 0.8}",-93.8218122114667,-104.64699435518848,-109.59660081880497,-111.61621653668112,-115.77165558999413,-107.09065590242707,7.5386193590916974,83
