Datetime,Ihat
2023-03-08 08:20:00,348.3796711068105
2023-06-24 09:10:00,534.460514460151
2023-05-24 14:40:00,721.1931808499123
2023-04-21 18:40:00,341.0539790954085
2023-03-30 16:40:00,327.60487418462634
2023-05-16 17:50:00,302.672286046382
2023-04-13 13:50:00,689.9063226574623
2023-02-07 15:50:00,349.5212318724931
2023-03-12 06:30:00,339.82766622147363
2023-02-23 09:00:00,384.062309617936
2023-05-14 16:20:00,346.21163926771334
2023-06-30 13:20:00,627.394434691142
2023-06-02 18:30:00,309.0051652112605
2023-04-23 15:30:00,424.6004532926864
2023-05-06 17:50:00,333.0009813676235
2023-04-03 13:50:00,719.7645210262685
2023-03-02 06:30:00,339.4041896727795
2023-06-28 07:20:00,211.55384642727114
2023-06-10 15:40:00,281.383712802125
2023-02-27 13:30:00,685.1438437125183
2023-06-12 18:30:00,200.33265339764017
2023-05-26 06:50:00,325.83987121931455
2023-02-15 18:20:00,175.78924064172526
2023-03-10 14:20:00,661.9782719369756
2023-05-04 16:20:00,356.14349301190407
2023-06-20 13:20:00,641.3121827769984
2023-05-06 11:00:00,711.7840877243282
2023-04-03 19:00:00,342.9115083919814
2023-06-06 08:50:00,400.19752281658043
2023-04-25 08:20:00,373.6686361233401
2023-02-09 14:40:00,432.43990111034043
2023-05-12 07:30:00,343.41196642561715
2023-05-16 11:00:00,702.1335236022503
2023-04-13 19:00:00,342.9115083919814
2023-02-09 06:50:00,323.86132654301355
2023-06-16 08:50:00,387.1568971058036
2023-02-11 08:40:00,333.0569736456093
2023-04-21 12:10:00,803.2683307792014
2023-05-02 07:30:00,350.13870499005833
2023-06-23 06:30:00,330.19495364305084
2023-04-10 14:50:00,666.7816505033032
2023-05-15 18:50:00,233.05583737933182
2023-04-22 17:40:00,228.96914938321441
2023-06-03 16:40:00,348.05552015720946
2023-04-18 08:50:00,406.68262135765383
2023-02-28 12:00:00,732.1650478388968
2023-06-01 17:30:00,309.0051652112605
2023-04-20 16:30:00,355.65626865766126
2023-03-31 18:30:00,121.92688641646595
2023-05-17 15:20:00,533.8600659533009
2023-03-03 13:20:00,758.6662072730412
2023-04-02 06:40:00,321.64530255279897
2023-06-13 16:40:00,128.0496450471936
2023-03-07 09:10:00,420.4790264610362
2023-02-14 16:50:00,319.32931117379104
2023-05-05 18:50:00,342.9115083919814
2023-06-23 14:20:00,668.7349286829547
2023-05-07 15:20:00,560.6937077594121
2023-03-13 13:20:00,625.3098874739089
2023-02-16 17:20:00,281.95098768625394
2023-04-12 06:40:00,309.8079908394656
2023-04-08 08:50:00,428.00546734827685
2023-04-30 16:30:00,304.4548561658009
2023-06-11 17:30:00,206.49047499824985
2023-02-24 14:30:00,703.8926613788807
2023-05-05 12:00:00,832.2672060452882
2023-05-19 14:30:00,719.9344090183384
2023-05-11 08:30:00,332.98975004414825
2023-05-29 16:50:00,322.6145157905462
2023-04-26 07:20:00,197.24645156643965
2023-04-22 11:10:00,725.3790462826033
2023-02-12 07:40:00,312.26064774267996
2023-05-09 14:30:00,600.4983766335209
2023-05-15 12:00:00,762.2848392894132
2023-02-28 18:50:00,342.9115083919814
2023-06-04 16:00:00,394.8497037539385
2023-05-20 13:00:00,777.3883068984301
2023-06-20 10:50:00,709.5518025359055
2023-03-10 09:50:00,406.4646584251506
2023-02-27 10:40:00,705.5526050271659
2023-05-12 18:10:00,91.09079993654105
2023-06-28 12:50:00,766.0325203207404
2023-04-03 10:20:00,736.512783471602
2023-04-07 14:10:00,393.20126726500456
2023-05-02 18:10:00,79.90314301370829
2023-02-13 16:10:00,367.43515570207046
2023-04-29 19:30:00,193.14793860074394
2023-06-14 16:00:00,300.30839480463254
2023-05-30 13:00:00,730.799176301593
2023-06-30 10:50:00,715.897082212024
2023-03-08 11:50:00,731.6692075125621
2023-05-24 09:30:00,604.2943499196987
2023-05-30 19:50:00,76.46752438409544
2023-06-02 07:10:00,332.91793961297145
2023-05-02 12:40:00,744.9344182631033
2023-04-19 15:00:00,505.1977907597476
2023-03-08 17:00:00,332.90853465042574
2023-03-14 19:30:00,337.90985321790663
2023-02-11 11:30:00,742.1544238321248
2023-06-16 11:20:00,664.1730029455072
2023-06-12 07:10:00,332.91793961297145
2023-05-12 12:40:00,785.156195050097
2023-04-25 11:50:00,832.5246744400545
2023-05-20 19:50:00,322.5323974381825
2023-02-09 09:30:00,347.87258601736283
2023-02-15 07:00:00,325.21320420391544
2023-06-06 11:20:00,724.8863888659367
2023-03-04 19:30:00,342.55038376802327
2023-04-09 15:00:00,375.3332846971225
2023-06-28 18:00:00,278.4655728141904
2023-04-08 11:20:00,709.7325569611747
2023-05-11 17:10:00,68.47847924944458
2023-04-14 13:10:00,631.7950298499227
2023-03-13 10:50:00,485.3375749524532
2023-06-23 09:50:00,701.8293074352852
2023-05-23 14:00:00,703.9952576683067
2023-06-07 15:00:00,339.49478693207357
2023-04-26 18:00:00,97.0770301714011
2023-03-29 19:40:00,342.25304617913434
2023-03-03 10:50:00,706.7335438025541
2023-03-27 16:00:00,374.8610398309295
2023-06-17 15:00:00,430.21986902031887
2023-02-10 15:10:00,469.54136286512045
2023-05-01 17:10:00,331.55837602981694
2023-04-18 11:20:00,682.1958246309051
2023-05-27 10:30:00,707.711705623442
2023-04-10 09:20:00,524.5309560608638
2023-04-04 19:40:00,342.39734454580105
2023-06-01 08:10:00,314.66685190173456
2023-03-31 07:10:00,312.26064774267996
2023-06-15 12:20:00,649.0107084059443
2023-06-09 14:10:00,377.75004618710665
2023-02-12 12:30:00,704.7532120756772
