Datetime,site_name,CI0_cm,CI1_cm,Iclr,I,k,HR,CI0_ov,CI1_ov
2023-02-07 08:00:00+07:00,ISL001,0.4156862745098039,0.5372549019607843,172.57015526752812,110.3633,0.639527152472619,8,0.0901960784313725,0.1019607843137254
2023-02-07 08:30:00+07:00,ISL001,0.3176470588235294,0.4156862745098039,288.4756447413988,208.399,0.7224145393168885,8,0.1176470588235294,0.0901960784313725
2023-02-07 09:00:00+07:00,ISL001,0.3333333333333333,0.3176470588235294,401.4915566124242,437.649,1.0900577927283288,9,0.0705882352941176,0.1176470588235294
2023-02-07 09:30:00+07:00,ISL001,0.388235294117647,0.3333333333333333,506.2994899684155,496.7265,0.981092238570075,9,0.0941176470588235,0.0705882352941176
2023-02-07 10:00:00+07:00,ISL001,0.3450980392156862,0.388235294117647,599.6324165497743,482.643,0.8048981120418407,10,0.0627450980392156,0.0941176470588235
2023-02-07 10:30:00+07:00,ISL001,0.3176470588235294,0.3450980392156862,679.1527818238792,641.1463,0.9440383918890652,10,0.0862745098039215,0.0627450980392156
2023-02-07 11:00:00+07:00,ISL001,0.3058823529411765,0.3176470588235294,743.0916489638339,678.6779,0.9133165484316068,11,0.1333333333333333,0.0862745098039215
2023-02-07 11:30:00+07:00,ISL001,0.3058823529411765,0.3058823529411765,790.1181172482683,548.2318,0.6938605608859068,11,0.1686274509803921,0.1333333333333333
2023-02-07 12:00:00+07:00,ISL001,0.392156862745098,0.3058823529411765,819.2897939483379,638.4393,0.7792594326400925,12,0.2745098039215686,0.1686274509803921
2023-02-07 12:30:00+07:00,ISL001,0.4078431372549019,0.392156862745098,830.0342934540507,748.2906,0.9015176913788854,12,0.2980392156862745,0.2745098039215686
2023-02-07 13:00:00+07:00,ISL001,0.3450980392156862,0.4078431372549019,822.1428426469828,777.0062,0.9450987829539936,13,0.2352941176470588,0.2980392156862745
2023-02-07 13:30:00+07:00,ISL001,0.4,0.3450980392156862,795.7686755455204,733.256,0.9214436588589436,13,0.2235294117647059,0.2352941176470588
2023-02-07 14:00:00+07:00,ISL001,0.3137254901960784,0.4,751.4281770850928,753.9971,1.0034187205021676,14,0.2588235294117647,0.2235294117647059
2023-02-07 15:30:00+07:00,ISL001,0.3098039215686274,0.3176470588235294,521.4220233805477,424.919,0.814923384411561,15,0.2078431372549019,0.2470588235294117
