Datetime,CI0_cm,CI1_cm,CI0_ov,CI1_ov,Iclr,HR
2023-03-08 08:20:00,0.0235294117647058,0.0235294117647058,0.3411764705882353,0.3254901960784314,327.23876525517966,8
2023-06-24 09:10:00,0.3607843137254902,0.3764705882352941,0.5607843137254902,0.6745098039215687,636.343053211732,9
2023-05-24 14:40:00,0.0352941176470588,0.0313725490196078,0.2784313725490196,0.2705882352941176,771.1300462294967,14
2023-04-21 18:40:00,0.0,0.0,0.0313725490196078,0.4705882352941176,0.0,18
2023-03-30 16:40:00,0.0666666666666666,0.0862745098039215,0.4313725490196078,0.4549019607843137,334.51939408259847,16
2023-05-16 17:50:00,0.2705882352941176,0.0901960784313725,0.7215686274509804,0.4901960784313725,73.19674774639402,17
2023-04-13 13:50:00,0.1803921568627451,0.2235294117647059,0.2705882352941176,0.4666666666666667,892.0990002699102,13
2023-02-07 15:50:00,0.1803921568627451,0.188235294117647,0.3294117647058823,0.392156862745098,454.36482972199735,15
2023-03-12 06:30:00,0.0784313725490196,0.1450980392156863,0.2392156862745098,0.0,0.0,6
2023-02-23 09:00:00,0.0039215686274509,0.0,0.3058823529411765,0.3058823529411765,445.1345515119448,9
2023-05-14 16:20:00,0.0509803921568627,0.0470588235294117,0.3490196078431372,0.3294117647058823,426.7126623041709,16
2023-06-30 13:20:00,0.0666666666666666,0.0745098039215686,0.6823529411764706,0.6745098039215687,936.220941320095,13
2023-06-02 18:30:00,0.0823529411764705,0.0705882352941176,0.4980392156862745,0.4627450980392157,1.0092765178826195,18
2023-04-23 15:30:00,0.1176470588235294,0.0627450980392156,0.4509803921568627,0.2980392156862745,613.659559032333,15
2023-05-06 17:50:00,0.0039215686274509,0.0078431372549019,0.2941176470588235,0.2549019607843137,66.64479978602076,17
2023-04-03 13:50:00,0.0156862745098039,0.0196078431372549,0.2549019607843137,0.2588235294117647,886.893355872277,13
2023-03-02 06:30:00,0.0588235294117647,0.0549019607843137,0.1529411764705882,0.0,0.0,6
2023-06-28 07:20:00,0.4156862745098039,0.4509803921568627,0.5686274509803921,0.5529411764705883,219.0358842164232,7
2023-06-10 15:40:00,0.615686274509804,0.7333333333333333,0.7411764705882353,0.7803921568627451,590.1579056009153,15
2023-02-27 13:30:00,0.0627450980392156,0.0627450980392156,0.2745098039215686,0.2666666666666666,855.0615928329844,13
2023-06-12 18:30:00,0.3294117647058823,0.5176470588235295,0.4509803921568627,0.2745098039215686,2.3830983135468524,18
2023-05-26 06:50:00,0.0352941176470588,0.1137254901960784,0.3372549019607843,0.4078431372549019,120.94822275629882,6
2023-02-15 18:20:00,0.4235294117647059,0.5098039215686274,0.1803921568627451,0.8470588235294118,0.0,18
2023-03-10 14:20:00,0.0980392156862745,0.1058823529411764,0.4274509803921568,0.4549019607843137,792.3519067745618,14
2023-05-04 16:20:00,0.0352941176470588,0.0470588235294117,0.2588235294117647,0.2862745098039215,423.59957608573194,16
2023-06-20 13:20:00,0.1725490196078431,0.2627450980392157,0.4196078431372549,0.4627450980392157,933.0771533301083,13
2023-05-06 11:00:00,0.0705882352941176,0.0745098039215686,0.2745098039215686,0.2862745098039215,928.5849655924295,11
2023-04-03 19:00:00,0.0666666666666666,0.0078431372549019,0.0039215686274509,0.0980392156862745,0.0,19
2023-06-06 08:50:00,0.2509803921568627,0.2196078431372549,0.4627450980392157,0.4431372549019607,581.0757897733312,8
2023-04-25 08:20:00,0.0627450980392156,0.0352941176470588,0.3333333333333333,0.3098039215686274,458.19804035688065,8
2023-02-09 14:40:00,0.1568627450980392,0.2431372549019607,0.4392156862745098,0.4156862745098039,672.0640543767245,14
2023-05-12 07:30:00,0.0549019607843137,0.0745098039215686,0.2980392156862745,0.3294117647058823,273.47304509655726,7
2023-05-16 11:00:00,0.0627450980392156,0.0627450980392156,0.3019607843137254,0.3215686274509804,926.4367173219433,11
2023-04-13 19:00:00,0.0470588235294117,0.0627450980392156,0.0,0.2,0.0,19
2023-02-09 06:50:00,0.0666666666666666,0.0784313725490196,0.3843137254901961,0.0,0.03866447396369856,6
2023-06-16 08:50:00,0.4470588235294118,0.2666666666666666,0.5098039215686274,0.4705882352941176,574.0930445050471,8
2023-02-11 08:40:00,0.0627450980392156,0.0745098039215686,0.3803921568627451,0.3450980392156862,338.7524043179597,8
2023-04-21 12:10:00,0.0196078431372549,0.0235294117647058,0.2235294117647059,0.2627450980392157,984.2350069284948,12
2023-05-02 07:30:00,0.0941176470588235,0.196078431372549,0.0,0.5294117647058824,263.01227597070147,7
2023-06-23 06:30:00,0.1137254901960784,0.1137254901960784,0.2980392156862745,0.403921568627451,45.26416765607623,6
2023-04-10 14:50:00,0.1254901960784313,0.1372549019607843,0.4156862745098039,0.388235294117647,744.1663164227298,14
2023-05-15 18:50:00,0.4352941176470588,0.3568627450980392,0.0,0.4509803921568627,0.0,18
2023-04-22 17:40:00,0.4588235294117647,0.2745098039215686,0.5764705882352941,0.4666666666666667,94.76634842546596,17
2023-06-03 16:40:00,0.0941176470588235,0.1137254901960784,0.2627450980392157,0.2980392156862745,359.7746731820324,16
2023-04-18 08:50:00,0.2313725490196078,0.1529411764705882,0.3725490196078431,0.3725490196078431,562.5586309360908,8
2023-02-28 12:00:00,0.0313725490196078,0.0274509803921568,0.2509803921568627,0.2627450980392157,884.8920691867663,12
2023-06-01 17:30:00,0.0745098039215686,0.0784313725490196,0.4470588235294118,0.3568627450980392,159.4002103405378,17
2023-04-20 16:30:00,0.0,0.0,0.3764705882352941,0.3294117647058823,380.3889481071436,16
